Michael                  20181009N2
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     RdAlt    MixR    VtWnd     SfcPr    ThetaE                                     
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s       mB      Deg                             
 173000     27.988   82.033   321.00   185.20      1.1      1.3     48.0   1007.0   359.30     2.40    32.07   -16.30     -3.5     48.0   1.0500     0.30   1012.4   308.20                              
 173001     27.988   82.033   321.00   185.20      1.1      1.3     48.0   1007.0     2.20     2.40    32.08   -16.40     -3.8     48.0   1.0400     0.20   1012.4   308.20                              
 173002     27.988   82.033   321.00   185.20      1.1      1.3     48.0   1006.9     2.10     2.40    32.09   -16.50     -4.3     48.0   1.0300     0.20   1012.3   308.10                              
 173003     27.988   82.033   321.00   185.20      1.1      1.3     48.0   1006.9    10.20     2.40    32.10   -16.70     -4.3     48.0   1.0200     0.20   1012.3   308.10                              
 173004     27.988   82.033   321.00   185.70      1.1      1.3     47.0   1006.9   357.20     2.40    32.12   -16.80     -4.4     48.0   1.0100     0.30   1012.3   308.10                              
 173005     27.988   82.033   321.10   190.40      1.0      1.3     47.0   1006.9     3.30     2.30    32.13   -16.80     -4.8     47.0   1.0100     0.30   1012.3   308.10                              
 173006     27.988   82.033   321.20   205.80      0.9      1.3     47.0   1006.9     7.40     2.10    32.13   -16.90     -4.6     47.0   1.0000     0.30   1012.3   308.10                              
 173007     27.988   82.033   321.30   223.30      0.7      1.3     47.0   1006.9    13.90     1.90    32.14   -16.90     -4.5     47.0   1.0000     0.30   1012.3   308.10                              
 173008     27.988   82.033   321.90   248.50      0.6      1.3     47.0   1007.0    20.10     1.60    32.16   -17.00     -4.2     47.0   0.9900     0.30   1012.4   308.10                              
 173009     27.988   82.033   323.00   274.60      0.7      1.3     47.0   1006.9    31.20     1.30    32.16   -17.00     -4.3     47.0   0.9900     0.30   1012.3   308.10                              
 173010     27.988   82.033   324.60   298.90      1.0      1.3     47.0   1006.9    54.10     1.20    32.16   -17.00     -4.3     47.0   0.9900     0.30   1012.3   308.10                              
 173011     27.988   82.033   326.90   315.70      1.3      1.3     47.0   1007.0    76.20     1.00    32.15   -17.00     -4.0     47.0   0.9900     0.30   1012.4   308.10                              
 173012     27.988   82.033   330.00   328.20      1.7      1.3     47.0   1007.0   115.40     0.70    32.11   -17.00     -3.5     47.0   0.9900     0.30   1012.4   308.00                              
 173013     27.988   82.033   334.10   336.20      2.1      1.3     47.0   1007.0   181.30     1.00    32.04   -17.00     -3.9     47.0   0.9900     0.40   1012.4   307.90                              
 173014     27.988   82.033   338.20   342.60      2.5      1.3     47.0   1007.0   196.30     1.90    31.97   -17.00     -3.9     47.0   1.0000     0.30   1012.4   307.90                              
 173015     27.988   82.033   342.70   348.80      3.0      1.3     47.0   1007.0   187.70     1.90    31.92   -16.90     -3.8     47.0   1.0100     0.40   1012.4   307.90                              
 173016     27.988   82.033   347.40   352.40      3.4      1.3     47.0   1006.9   188.30     2.40    31.87   -16.80     -4.3     47.0   1.0100     0.40   1012.3   307.80                              
 173017     27.988   82.033   351.00   354.30      3.9      1.3     47.0   1006.9   189.90     2.90    31.82   -16.60     -4.8     47.0   1.0200     0.30   1012.3   307.80                              
 173018     27.988   82.033   353.60   353.60      4.3      1.3     47.0   1006.9   158.60     4.40    31.82   -16.40     -4.3     48.0   1.0400     0.00   1012.3   307.90                              
 173019     27.988   82.033   354.90   354.60      4.8      1.3     47.0   1006.9   160.20     4.90    31.75   -16.20     -4.2     48.0   1.0600     0.00   1012.4   307.90                              
