Michael                  20181011H1
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     RdAlt    MixR    VtWnd     SfcPr    ThetaE                                     
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s       mB      Deg                             
 125500      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125501      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125502      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125503      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125504      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125505      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125506      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125507      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125508      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125509      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125510      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125511      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125512      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125513      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125514      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125515      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125516      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125517      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125518      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125519      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125520      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125521      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125522      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125523      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125524      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125525      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125526      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125527      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125528      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125529      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125530      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125531      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125532      1.002    1.002    -0.10    -0.10     -0.1     -0.1     -1.0     -0.1    -0.10    -0.10    -0.01    -0.10     -0.1     -1.0  -0.0100    -0.10     -0.1    -0.10                              
 125533     27.988   82.007   357.50   357.80      5.0      1.3     47.0   1005.3   180.20     4.10    26.50    24.30    -18.2     47.0  19.3900     0.90   1010.7   356.00                              
