Dorian                   20190827H1
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     RdAlt    MixR    VtWnd     SfcPr    ThetaE                                     
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s       mB      Deg                             
 213000     17.698   64.815   358.50   356.70      3.1      1.3     31.0   1010.4   166.30     2.40    29.40    22.90      8.3     31.0  17.7100     0.00   1014.0   354.10                              
 213001     17.698   64.815     3.30     0.00      3.0      1.3     31.0   1010.6   174.30     2.50    29.36    22.90      9.8     31.0  17.7100     0.00   1014.2   354.00                              
 213002     17.698   64.815     9.20     5.40      2.9      1.3     31.0   1010.6   187.60     2.20    29.32    22.90     10.3     31.0  17.7000     0.00   1014.2   354.00                              
 213003     17.698   64.815    15.90    11.70      2.9      1.3     31.0   1010.7   200.50     2.10    29.28    22.90     10.6     31.0  17.6800     0.00   1014.3   353.90                              
 213004     17.700   64.815    23.30    18.30      2.9      1.3     31.0   1010.5   213.60     2.10    29.24    22.80      9.6     31.0  17.6500    -0.10   1014.1   353.70                              
 213005     17.700   64.815    32.00    26.00      2.8      2.9     31.0   1010.5   219.70     0.50    29.21    22.80      9.6     31.0  17.6300    -0.20   1014.1   353.60                              
 213006     17.700   64.815    41.70    35.30      2.8      5.1     31.0   1010.5    20.80     1.80    29.20    22.80      9.2     31.0  17.6500     0.30   1014.1   353.70                              
 213007     17.700   64.815    51.40    45.20      2.9      5.4     31.0   1010.4    27.10     2.10    29.21    22.90      8.8     31.0  17.6800     0.10   1014.0   353.80                              
 213008     17.700   64.815    59.90    54.80      3.2      7.0     31.0   1010.2    53.50     3.30    29.20    22.90      6.5     31.0  17.7100     0.90   1013.8   353.90                              
 213009     17.700   64.815    67.00    63.20      3.4      6.7     31.0   1010.4    64.10     2.90    29.20    22.90      8.1     31.0  17.7100     0.00   1014.0   353.90                              
 213010     17.700   64.815    72.80    69.80      3.7      9.2     31.0   1010.1    60.50     5.20    29.12    22.90      6.1     31.0  17.7100    -0.30   1013.7   353.80                              
 213011     17.700   64.815    77.50    75.40      4.2     10.0     31.0   1010.3    55.90     5.80    29.07    22.90      7.7     31.0  17.7200    -0.30   1013.9   353.70                              
 213012     17.700   64.815    81.00    79.60      4.9     10.5     31.0   1010.0    53.40     5.80    29.02    22.90      5.3     31.0  17.7600     0.00   1013.6   353.80                              
 213013     17.700   64.815    83.10    82.60      5.6      9.6     31.0   1010.3    55.80     4.20    29.00    23.00      7.6     31.0  17.8000     0.10   1013.9   353.90                              
 213014     17.700   64.815    83.60    84.00      7.0     12.6     31.0   1010.1    58.50     5.90    28.94    23.00      6.2     31.0  17.8500    -0.40   1013.7   354.00                              
