Dorian                   20190902N1
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     RdAlt    MixR    VtWnd     SfcPr    ThetaE                                     
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s       mB      Deg                             
 054000     29.988   90.252   103.80   107.10     94.2     99.4    154.0    997.2    56.90     6.50    27.24    22.90     20.7    154.0  17.9000     0.00   1014.7   353.40                              
 054001     29.988   90.252   104.10   107.50     94.8    100.4    166.0    995.6    61.90     6.50    27.14    22.90     19.2    166.0  17.9500     0.00   1014.4   353.60                              
 054002     29.988   90.250   104.30   108.00     95.6    101.3    166.0    994.1    63.50     6.60    27.03    23.00      6.5    166.0  18.1000     0.10   1012.9   354.10                              
 054003     29.988   90.250   104.60   108.30     96.5    101.7    194.0    992.7    57.00     6.50    26.97    23.00     22.3    194.0  18.1700    -0.20   1014.6   354.40                              
 054004     29.988   90.248   104.90   108.60     97.4    102.6    207.0    990.9    59.60     6.40    26.81    23.00     20.4    207.0  18.1600    -0.20   1014.3   354.30                              
 054005     29.987   90.247   105.10   108.90     98.4    103.5    207.0    989.5    58.80     6.50    26.64    22.90      8.7    207.0  18.0700    -0.40   1012.9   354.00                              
 054006     29.987   90.247   105.30   109.10     99.1    104.5    234.0    987.8    61.80     6.60    26.51    22.80     21.1    234.0  18.0400    -0.50   1014.2   353.90                              
 054007     29.987   90.245   105.70   109.20     99.5    105.1    247.0    986.3    63.30     6.60    26.40    22.70     21.5    248.0  17.9700    -0.40   1014.2   353.70                              
 054008     29.987   90.245   106.00   109.40     99.8    105.6    260.0    984.9    64.50     6.70    26.29    22.70     22.4    261.0  17.9300    -0.50   1014.2   353.60                              
 054009     29.987   90.243   106.10   109.60     99.8    105.5    274.0    983.3    62.80     6.80    26.21    22.60     22.7    274.0  17.9000    -0.40   1014.2   353.60                              
 054010     29.987   90.242   106.20   109.80     99.8    105.2    287.0    981.8    62.10     6.40    26.10    22.60     23.5    288.0  17.9500    -0.40   1014.2   353.80                              
 054011     29.985   90.242   106.40   110.10     99.8    105.7    287.0    980.2    63.80     6.90    25.96    22.60      9.7    288.0  17.9900    -0.70   1012.5   353.90                              
 054012     29.985   90.240   106.60   110.30     99.7    105.7    287.0    978.4    64.30     6.90    25.88    22.60     -5.4    288.0  17.9600    -0.60   1010.7   353.90                              
 054013     29.985   90.240   106.70   110.50     99.7    105.2    329.0    977.0    61.90     6.60    25.78    22.60     24.3    330.0  17.9600    -0.40   1014.0   353.90                              
 054014     29.985   90.238   106.90   110.60     99.7    105.2    329.0    975.4    62.30     6.60    25.62    22.60     10.2    330.0  17.9900    -0.30   1012.3   354.00                              
 054015     29.985   90.238   107.10   110.90     99.7    105.8    359.0    973.7    66.00     7.00    25.43    22.60     24.9    359.0  18.0300    -0.60   1013.9   354.00                              
 054016     29.983   90.237   107.30   111.00     99.8    106.0    373.0    972.1    67.50     7.10    25.36    22.60     26.2    373.0  18.0500    -0.50   1014.0   354.20                              
 054017     29.983   90.235   107.40   111.20     99.8    106.1    373.0    970.4    68.40     7.10    25.23    22.50     11.2    373.0  18.0100    -0.60   1012.2   354.10                              
 054018     29.983   90.235   107.60   111.30     99.8    106.1    373.0    969.1    68.40     7.20    25.09    22.40     -0.3    373.0  17.8900    -0.70   1010.8   353.70                              
 054019     29.983   90.233   107.60   111.40     99.8    105.9    373.0    967.6    68.90     6.90    24.98    22.20    -12.5    373.0  17.7400    -0.70   1009.4   353.30                              
 054020     29.983   90.233   107.70   111.50     99.7    106.0    373.0    966.0    68.00     7.20    24.88    22.10    -26.6    373.0  17.6700    -0.70   1007.7   353.10                              
 054021     29.982   90.232   107.70   111.60     99.6    105.8    443.0    964.4    66.00     7.40    24.77    22.10     29.4    444.0  17.6700    -0.40   1014.0   353.20                              
 054022     29.982   90.232   107.70   111.70     99.5    105.3    456.0    963.1    65.20     7.00    24.68    22.00     31.1    457.0  17.6000    -0.20   1014.1   353.00                              
 054023     29.982   90.230   107.80   111.80     99.5    106.0    470.0    961.7    69.30     7.50    24.55    22.00     32.2    470.0  17.5900    -0.40   1014.2   352.90                              
 054024     29.982   90.228   107.90   111.80     99.4    106.5    470.0    960.3    71.70     7.90    24.51    22.00     20.1    470.0  17.5900    -1.10   1012.7   353.10                              
 054025     29.982   90.228   107.90   111.80     99.3    106.1    470.0    958.7    68.70     8.00    24.38    21.80      6.2    470.0  17.5000    -0.90   1011.0   352.80                              
 054026     29.980   90.227   107.70   111.80     99.2    105.9    470.0    957.1    69.50     7.80    24.17    21.70     -7.4    470.0  17.3600    -0.30   1009.4   352.30                              
 054027     29.980   90.227   107.70   111.80     99.2    105.9    523.0    956.1    68.50     8.00    24.14    21.70     36.9    523.0  17.3500    -0.40   1014.4   352.30                              
 054028     29.980   90.225   107.60   111.80     99.2    106.1    523.0    954.4    71.60     7.90    24.07    21.50     22.6    523.0  17.2200    -0.20   1012.7   352.10                              
 054029     29.980   90.223   107.60   111.80     99.0    106.2    562.0    952.8    71.90     8.20    23.99    21.40     47.2    562.0  17.1500    -0.40   1015.4   351.90                              
 054030     29.980   90.223   107.50   111.70     99.1    106.0    574.0    951.7    70.80     8.00    23.87    21.40     50.2    575.0  17.1600    -0.10   1015.7   351.90                              
 054031     29.978   90.222   107.30   111.60     99.1    106.1    587.0    950.5    75.40     7.70    23.95    21.40     52.3    587.0  17.1600    -0.30   1015.8   352.20                              
 054032     29.978   90.222   107.30   111.40     99.2    106.3    587.0    949.2    76.10     7.80    23.98    21.30     40.4    587.0  17.1300    -0.60   1014.4   352.30                              
 054033     29.978   90.220   107.30   111.30     99.3    106.4    599.0    947.9    76.90     7.70    23.98    21.10     41.9    600.0  16.9100    -0.70   1014.5   351.70                              
 054034     29.978   90.220   107.30   111.20     99.4    106.5    623.0    946.4    76.00     7.70    23.93    20.90     52.6    624.0  16.7200    -0.80   1015.6   351.30                              
 054035     29.978   90.218   107.30   111.10     99.6    106.6    635.0    945.1    76.50     7.60    23.86    20.70     52.1    635.0  16.5400    -0.80   1015.5   350.80                              
 054036     29.978   90.217   107.40   111.10     99.6    106.6    647.0    943.8    77.80     7.40    23.83    20.60     53.1    648.0  16.4000    -0.70   1015.5   350.50                              
 054037     29.977   90.217   107.50   111.10     99.8    106.6    623.0    942.5    76.80     7.30    23.85    20.50     18.1    624.0  16.3800    -0.80   1011.5   350.60                              
 054038     29.977   90.215   107.60   111.10     99.9    106.8    671.0    941.3    76.00     7.40    23.91    20.40     55.8    672.0  16.3200    -0.70   1015.7   350.60                              
 054039     29.977   90.215   107.60   111.10    100.0    107.1    683.0    939.8    76.50     7.60    23.94    20.30     54.6    684.0  16.1500    -0.60   1015.4   350.40                              
 054040     29.977   90.213   107.60   111.10    100.2    107.2    683.0    938.7    76.40     7.60    23.96    19.90     44.7    684.0  15.8400    -0.40   1014.2   349.60                              
 054041     29.977   90.213   107.60   111.20    100.3    107.2    683.0    937.3    75.90     7.50    23.98    19.60     32.1    684.0  15.5700    -0.40   1012.7   349.00                              
 054042     29.975   90.212   107.70   111.20    100.5    107.2    683.0    935.7    75.30     7.30    23.97    19.20     18.4    684.0  15.2200    -0.40   1011.0   348.10                              
 054043     29.975   90.210   107.80   111.30    100.7    107.4    683.0    934.8    75.00     7.30    23.96    19.00      9.8    684.0  14.9600    -0.40   1010.0   347.40                              
 054044     29.975   90.210   108.00   111.40    100.8    107.5    732.0    933.4    75.50     7.30    23.92    18.60     46.6    733.0  14.6500    -0.40   1014.1   346.60                              
 054045     29.975   90.208   108.10   111.60    101.0    107.8    744.0    932.0    77.50     7.30    23.88    18.30     45.9    745.0  14.3400    -0.40   1013.9   345.80                              
 054046     29.975   90.208   108.40   111.70    101.1    108.2    757.0    930.9    80.10     7.40    23.85    17.90     48.1    757.0  14.0500    -0.50   1014.1   345.10                              
 054047     29.973   90.207   108.60   111.80    101.3    108.5    769.0    929.4    81.10     7.50    23.80    17.70     46.9    769.0  13.8900    -0.40   1013.9   344.70                              
 054048     29.973   90.205   108.90   112.00    101.4    108.7    769.0    928.0    81.40     7.50    23.75    17.60     34.9    769.0  13.8000    -0.40   1012.5   344.50                              
 054049     29.973   90.205   109.00   112.10    101.4    108.8    769.0    926.8    81.60     7.60    23.71    17.50     23.5    769.0  13.7500    -0.40   1011.1   344.40                              
 054050     29.973   90.203   109.20   112.30    101.5    108.9    769.0    925.4    81.10     7.50    23.66    17.40     11.3    769.0  13.6600    -0.50   1009.6   344.30                              
 054051     29.973   90.203   109.30   112.50    101.7    109.1    820.0    924.0    80.80     7.70    23.59    17.20     50.5    820.0  13.5400    -0.50   1014.0   344.00                              
 054052     29.972   90.202   109.40   112.60    101.8    109.2    833.0    922.6    80.70     7.70    23.52    17.00     50.9    834.0  13.3700    -0.40   1014.0   343.50                              
 054053     29.972   90.202   109.60   112.90    101.9    109.4    833.0    921.3    80.80     7.80    23.43    16.80     39.1    834.0  13.1900    -0.40   1012.6   343.10                              
 054054     29.972   90.200   110.00   113.30    102.0    109.6    859.0    919.7    80.40     7.90    23.33    16.70     51.3    860.0  13.1200    -0.40   1013.9   342.90                              
